Reviewer,Date,Review
Amir Zarif,6 months ago,"Delicious place to eat nasi lemak. Many side lauk to choose from to complement the NL - fried chicken, beef, squid, veggies. Queue can take a while. A lot of seating places. Free H20 refill. I feel rice portion can be a bit more, but otherwise tasty!"
Emily Chng,10 months ago,"Well, this place is famous for sure. You'll see locals and tourists alike. They have a variety of dishes to accompany the basic nasi lemak. While I enjoyed the fried chicken, bergedil and tempe , I didn't really enjoy the sambal. It's too â€¦"
Sasan P,a month ago,"I had the pleasure of dining at Nasi Lemak Wanjo Kg Baro, and it was undoubtedly an authentic experience. A local tour guide recommended it, and it didn't disappoint. The food was simple yet incredibly delicious, giving a genuine â€¦"
tanhb,a year ago,"Long que on certain time but very fast moving. I would not say it's the best but there are others better one. Price is on high side vs tjose roadside style nasi lemak. RM10 for nasi lemak ayam berempah as at Sep 2022.  For same portion at roadside, probably RM7."
Shauw Liew,a year ago,"A very decent famous Nasi Lemak. Very affordable and yummy. Ranging from RM4 to RM9 for pricing. A lot of other side dishes available from sotong, paru, kerang, bergedil and many more to spice up your Nasi lemak. Sedap!"
Lelaki Bawah Tanah,7 months ago,Lunch kat sini masa cuti sekolah tak ramai orang. Ada tempat berhawa dingin. Ada tempat bawah kipas. Boleh pilih nak duduk kat mana. Selesa dengan ada surau dan tandas.
Syafiqa Sihar,a month ago,Banyak lauk dan kedai sangat selesa. Sesuai untuk makan bersama keluarga. Kawasan sahaja agak sesak time weekend so agak susah untuk cari parking. â€¦
wusamhk,8 months ago,"I thoroughly enjoyed this Nasi Lemak â€” you get to pick the sides you want. Enjoyed the chicken drumstick!! Including the sotong too! The Sambal was super on point, and the rice was fragrant and lemaky. Awesome!! Place was spacious, bright and clean!"
Nash Imran,a year ago,Lama sudah tak datang melawat sini. Kedai makin besar dan banyak tempat duduk. Nasi lemak dan lauk2 ok. Tandas ok. Parking areÃ  sini mmgu susah sikit. Kena pandai cari parking. Will comeback again soon later. Harap lauk bole masak cepat utk lebih banyak pilihan masa tgh makan. Thanks!
Kurt Horrix PRIVATE,9 months ago,"I had to try the local experience so for ambiance I would put 4 but as usual I am a bit disappointed when it comes to Malaysian food. It is all ""close but no cigar"". The concept is nice, like a cantina, get in and cue. The dishes are â€¦"
Fynn W,3 months ago,"Will go back only for the rice, more goreng2 choices compared to others but drinks are too sweet even ordered for less sugar."
Wati Nordin,6 months ago,"His service was fast, only the food part....I was a little disappointed because his nasi lemak tasted salty. And I bought several types of side dishes and it happened that me, my husband and younger brother ate the same side dish which is â€¦"
Johan Sopiee,a week ago,The sambal is a bit too sweet for my taste. But it's very clean here. Not as pricey as I expected it to be. A good experience. I will come again. Service is fast and people are friendly
Sam 1415,a month ago,Food - coconut taste was light and rice was nicely cooked. Lots of dishes to choose. â€¦
Mohammad Mat,6 months ago,Not as expected.. the sambal too sweet.. its more like indonesian style of sambal.. donâ€™t expext too much.. parking problem.. staff at the food counter not too friendly.. road side nasi lemak far better.. thats my experience.. ðŸ™ â€¦
Wik Wang,a month ago,"Nasi Lemak is above average, sambal is sweet, the rice not coconuty.. the sotong(squid) and kerang (cockles) are good... Kopi O panas is nice.. â€¦"
Ni Adila,10 months ago,"Very nice sambal!! But this nasi lemak feels like nasi lemak kantin !! There are so many lauk for nasi lemak ! I tried bergedil sedap sngt, u will shock with the size of bergedil hahah You guys should try! Good customer service!"
Bahrom B Juma'at,a month ago,Sambal too sweet some peoples may like it. Overall ok
Carl Shinoda,a year ago,"This is my second time to this restaurant in Kampung Baru. This time, they have renovated this large restaurant which is now (10 Jan 2022) very clean, bright and spacious. The main attraction is of course their fantastic Nasi Lemak. A â€¦"
Q Syok,10 months ago,"Clean and spacious restaurant. Food wise nothing to shout about, just so-so.. other roadside nasi lemak much better taste than here, the nasi quite tasteless no aroma santan at all, maybe cost cutting not to use enough santan for the nasi, â€¦"
Ahmad Faris Jalil,11 months ago,"Berbekalkan RM1 seorang, anda boleh menikmati nasi lemak dalam kedinginan pendingin hawa (air-conditioner). Tidak ada apa-apa yang ingin saya katakan pada nasi lemak yang ditawarkan disini melainkan ianya sedap. Sebagai pengunjung sejak â€¦"
Anna Levy,a month ago,"Delicious and authentic Malay food in a buffet style. A fun experience for tourists, with super cheap and tasty food. The staff were very kind in explaining the dishes to us in English."
R P,3 months ago,Do not expect this place to live up to the hype. Itâ€™s average food served in a cafeteria type atmosphere in rushed fashion down a assembly line procedure. The chicken is decent but I have had much better in KL. The sambal is a more sweet â€¦
suka suki,a month ago,Nasi mcm rm1.50.. paru 5ketul kecik ko bg? Cashier xyah buat muka ketat eh. Senarai harga tepek kt cermin.. nama dekat resit nasi lemak telur rebus rm5.50. Tq
Umi Musa,a year ago,"My first time here to buy sahur and both lines for dine-in and takeaway were pretty long. Nasi lemak was very fragrant, but I couldnt figure out what makes it smell nice. Extra santan? Or the pandan leaves? Or simply because it was packed â€¦"
Edwin Low,a month ago,The sambal is sweet..prefer itnto be salty though.
Nur Shaza,a year ago,"Biasa-biasa je makanan dia. Suasana yang baik, cuma parking je problem. Depan tu ada parking tapi kena bayar lah dalam 5 ringgit untuk 3 jam pertama. Tadi makan nasi lemak dengan ayam goreng + air milo ais. Harga 11 ringgit sahaja."
Ahmad Farris,8 months ago,"Tasty nasi lemak with variety of lauk. Rice is soft but in normal portion. Rendang ayam taste great, similar like the one you ordered at Paparich. Parking is rm3 for 3 hours nearby this restaurant."
Hamidi Rahim,5 months ago,"First time rasa sendiri. Aku ambil nasi lemak sambal kerang + begedil. Wife pulak nasi lemak paru.Nasi dia wangi & berlemak. Cukup syarat.Part yang paling aku suka ialah sambal dia. Kalau nak describe, it is spicy first with the hint of sweetness.Kedai pun luas, airy and most importantly sangat bersih time aku datang. Servis pun pantas.Untuk kata nasi lemak ni terbaik ke, overrated ke bagi aku tu subjektif. Tapi yang certain, rasa nasi lemak Wanjo ni solid, cukup syarat & atmosfera yang selesa.Yang kureng maybe dari segi portion, a bit small untuk aku. Lagi satu parking lah, tapi tu lebih kepada masalah kg baru bukan kedai ni.WIR - most definitely."
SFL S,a year ago,Delicious nasi lemak. Nice ambience. Good price of RM13 including coffee. Will come back. Kampong Baru is indeed a place for local malaysian food.
Sazali M Salleh,10 months ago,"Today we came here again as part of our #breakfastclub routine, after getting bored with our usual #nyonyacolors... Najwa even postponed her 8:00am meeting to attend this!! ðŸ˜±ðŸ˜± â€¦"
Ali Sabki Aljembali,5 months ago,"Orang Kelantan nak rasa masakan Kelantan boleh datang makan sini. Meja banyak, kedai luas. Orang sentiasa ramai. Cuma parking la susah sikit sebab kawasan kg baru"
Ahmad Hamidi Abdul Rahim,3 months ago,First time rasa sendiri. Aku ambil nasi lemak sambal kerang + begedil. Wife pulak nasi lemak paru. â€¦
Syafiq Abdullah,2 years ago,"The Nasi Lemak was very good. The rice was fluffy and the sambal has a nice sweet taste. It is not too spicy and the price is affordable. The only complaint is parking is quite difficult in this area, but there are paid parking around which â€¦"
Chef Wans,a year ago,"Nasi lemak lagend, memang sangat terasa creamy santan pada nasi, sambal walaupun nampak macam pedas tapi just nice x terasa sangat kepedasan, kids friendly for sambal, ayam goreng pun flavourful cukup rasa dari segi rempahnya, ayam masih â€¦"
along putera,8 months ago,Tempat yang menarik utk nikmati nasi lemak. Just bagi selera aku ok ja tapi tetap boleh rasa dan nikmati cuma rasa kurang sebab ayam goreng maybe kat luar jadi tidak ranggup. Overall still ok la..just nak park tu pandai2 la cari tempat memang susah skit bab parking kereta ni
Hariz Nor,a year ago,"Best Nasi Lemak in KL. No doubt. Plenty of choices for lauk and freshly cooked. Large dining space, with air conditioning area as well. Parking may be a bit hard, but Kg Bharu always packed."
Lennos Tee,2 months ago,Love the nasi lemak here! The price was affordable and the place was surprisingly clean. â€¦
malek husaini,11 months ago,Memang sedap. Kalau datang lewat q panjang sikit tapi servis laju. Lauk pelbagai pastikan ambil begedil. Makan kat ruang ada aircond tambah RM1/person.
Mikey Chang,7 months ago,"If you want to enjoy authentic Malaysian local food, I recommend this place. And please try mango smoothie after the meal."
Diana Juni,6 months ago,"always queue, but very fast service. favorite menu ""nasi lemak paru"" and delicious sambal (sweet and spicy) must come here if you go to KL"
Dinda,2 months ago,"Their Nasi lemak is famous everywhere, especially among tourists. The taste is okay, you can try the squid and chicken, but the sambal is too sweet. Overall, it's quite a nice lunch."
Jin Shaun Suah,9 months ago,Your lunch affair here can be quite a hot experience under the soaring sun despite the ample oscillating wall fans. â€¦
Mai Meor,4 months ago,"Been here 3 times already. The only downside going here is the difficulty in finding a parking spot, as it is in Kg Baru. But once you reach the restaurant, youâ€™ll forget about it. You will be greeted by a helpful staff letting you know â€¦"
mohamad saiful abdul rani,a year ago,"Great Nasi Lemak taste with a nice place. Even thoigh the queue to get the food is long, it was quite fast since there were many workers and they know what they neeed to do."
Fiza Hafizah,a month ago,The portion for the rice too small and after requested also it's not enough for big portion. For the Fried chicken hard and cold.we arrived at 10 pm.the staff friendly and fast service. Also request for extra sambal also can't get it
fAIruz,a month ago,Paru agak liat ..sambal tak pedas .. ada tempat aircond ..caj RM1 sorang ..kanakÂ² tak kena caj .. .. ok lah nak rasoÂ² .. prefer ns lemak ct garden kg bharu lg..
Zulhilmi Ismadi,a year ago,"Nasi lemak berlemak. Queue panjang. So kalau lapar beli la 2 pinggan terus. Portion tak berapa besar. Paru keras sket. Ayam, kerang semua ok. Sambal tak pedas sangat."
Alexander Wong,8 months ago,"Have been an occasional dinner here, but over time the taste somehow has deteriorated. The rendang Daging was  tough and pretty salty and the sambal was too sweet. Hope they can maintain their consistency since this has been a frequent spot for tourist trying out our national treasure."
Nur Halim,a year ago,"Reach location just before 12pm on a Monday. Queue was quite short, about 3-4 family ahead. Just a short wait as the staffs are quick to serve.About less than half of the tables available are taken.Had 3x plates of basic Nasi Lemak plus2x marinated fried chicken (ayam goreng rempah)1x paru goreng (beef lungs)1x rendang daging (beef rendang)1x limpa (beef spleen)1x can of green tea1x mineral water1x teh tarikTotal cost RM43, which is really value for money.Generally the food is great, but the ones that really hit me are the rice itself, sambal, beef rendang, fried chicken and teh tarik. Recommended. ðŸ‘ðŸ‘ðŸ‘Kid-friendliness: Free entry for kids below 10 years old to dine in the air-condition dining area. RM1 per entry for adult."
